Year,Week_Number,mean_return,volatility
2020,25,-0.5504,1.7611411925226212
2020,26,1.0005,0.4440198944491863
2020,27,0.346,1.0954159027510966
2020,28,0.262,0.8836365202955342
2020,29,-0.04940000000000004,0.8437679183282569
2020,30,0.3516,0.8030773935306609
2020,31,0.48840000000000006,0.2628674570957767
2020,32,0.13799999999999996,0.814065722162529
2020,33,0.1568,0.32428798929346736
2020,34,0.6462,0.36472002961175576
2020,35,-0.4462,1.911817773743094
2020,36,-0.6105,2.0728326029855864
2020,37,-0.12120000000000002,1.021381025866449
2020,38,-0.10599999999999996,1.6033287248721018
2020,39,0.3134,1.0550091468797795
2020,40,0.7742,1.3021339024846867
2020,41,0.028799999999999992,0.9252706090652616
2020,42,-0.08379999999999997,0.8498250996528639
2020,43,-1.1274000000000002,1.656782967078066
2020,44,1.4098,0.8994402148002945
